Revenue_INR,Cost_INR,Quantity,Business_Model
18790,14092.5,5,Retail
5442,4081.5,2,Retail
48870,36652.5,10,Retail
19089,14316.75,9,Retail
733,549.75,1,Retail
3280,2460.0,8,Retail
16434,12325.5,9,Retail
2038,1528.5,1,Retail
23415,17561.25,5,Retail
34552,25914.0,7,Retail
11844,8883.0,3,Retail
1506,1129.5,1,Retail
609,456.75,1,Retail
12440,9330.0,8,Retail
41517,31137.75,9,Retail
37616,28212.0,8,Retail
21371,16028.25,7,Retail
11985,8988.75,5,Retail
21707,16280.25,7,Retail
8512,6384.0,7,Retail
9434,7075.5,2,Retail
19899,14924.25,9,Retail
10175,7631.25,5,Retail
2600,1950.0,2,Retail
44580,33435.0,10,Retail
1913,1434.75,1,Retail
883,662.25,1,Retail
25506,19129.5,6,Retail
28184,21138.0,8,Retail
22870,17152.5,5,Retail
7641,5730.75,9,Retail
11256,8442.0,8,Retail
6464,4848.0,2,Retail
789,591.75,1,Retail
11880,8910.0,5,Retail
17784,13338.0,9,Retail
4972,3729.0,4,Retail
12052,9039.0,4,Retail
4319,3239.25,7,Retail
18430,13822.5,10,Retail
23044,17283.0,7,Retail
41920,31440.0,10,Retail
9972,7479.0,2,Retail
1960,1470.0,8,Retail
25552,19164.0,8,Retail
4845,3633.75,3,Retail
5254,3940.5,2,Retail
2756,2067.0,1,Retail
3906,2929.5,9,Retail
28224,21168.0,9,Retail
3310,2482.5,2,Retail
4256,3192.0,2,Retail
32030,24022.5,10,Retail
29352,22014.0,8,Retail
17304,12978.0,8,Retail
22830,17122.5,5,Retail
12126,9094.5,3,Retail
6416,4812.0,4,Retail
20960,15720.0,5,Retail
869,651.75,1,Retail
29178,21883.5,9,Retail
16820,12615.0,4,Retail
10828,8121.0,4,Retail
7060,5295.0,4,Retail
5250,3937.5,2,Retail
7260,5445.0,4,Retail
21308,15981.0,7,Retail
1926,1444.5,9,Retail
4623,3467.25,1,Retail
14418,10813.5,3,Retail
22280,16710.0,5,Retail
13517,10137.75,7,Retail
3750,2812.5,2,Retail
4532,3399.0,1,Retail
42921,32190.75,9,Retail
693,519.75,1,Retail
2634,1975.5,3,Retail
980,735.0,4,Retail
8890,6667.5,10,Retail
3185,2388.75,1,Retail
24715,18536.25,5,Retail
293,219.75,1,Retail
6150,4612.5,2,Retail
1524,1143.0,6,Retail
25152,18864.0,6,Retail
4789,3591.75,1,Retail
14415,10811.25,5,Retail
1167,875.25,3,Retail
28260,21195.0,9,Retail
1458,1093.5,3,Retail
2356,1767.0,1,Retail
4854,3640.5,6,Retail
21430,16072.5,10,Retail
14310,10732.5,3,Retail
15165,11373.75,5,Retail
9216,6912.0,4,Retail
14778,11083.5,9,Retail
37377,28032.75,9,Retail
21750,16312.5,10,Retail
17090,12817.5,5,Retail
3464,2598.0,8,Retail
20888,15666.0,7,Retail
14400,10800.0,9,Retail
18864,14148.0,8,Retail
17272,12954.0,8,Retail
2239,1679.25,1,Retail
2569,1926.75,7,Retail
35660,26745.0,10,Retail
9250,6937.5,2,Retail
12792,9594.0,8,Retail
22446,16834.5,9,Retail
280,210.0,5,Retail
31080,23310.0,7,Retail
2459,1844.25,1,Retail
28770,21577.5,7,Retail
3389,2541.75,1,Retail
7050,5287.5,2,Retail
5534,4150.5,2,Retail
48710,36532.5,10,Retail
6090,4567.5,5,Retail
33296,24972.0,8,Retail
795,596.25,1,Retail
1940,1455.0,5,Retail
4992,3744.0,4,Retail
2757,2067.75,3,Retail
27140,20355.0,10,Retail
7502,5626.5,2,Retail
28150,21112.5,10,Retail
13368,10026.0,3,Retail
34783,26087.25,7,Retail
4484,3363.0,1,Retail
17528,13146.0,7,Retail
12570,9427.5,10,Retail
29505,22128.75,7,Retail
2788,2091.0,4,Retail
5930,4447.5,2,Retail
10900,8175.0,5,Retail
1143,857.25,3,Retail
14859,11144.25,3,Retail
7990,5992.5,10,Retail
37336,28002.0,8,Retail
15930,11947.5,9,Retail
13184,9888.0,4,Retail
5374,4030.5,2,Retail
27712,20784.0,8,Retail
8032,6024.0,2,Retail
4473,3354.75,7,Retail
10398,7798.5,3,Retail
3131,2348.25,1,Retail
18950,14212.5,10,Retail
8968,6726.0,8,Retail
4178,3133.5,1,Retail
4391,3293.25,1,Retail
4572,3429.0,4,Retail
18090,13567.5,9,Retail
2828,2121.0,2,Retail
35152,26364.0,8,Retail
9300,6975.0,6,Retail
19782,14836.5,9,Retail
5310,3982.5,9,Retail
23288,17466.0,8,Retail
10311,7733.25,3,Retail
9470,7102.5,10,Retail
19248,14436.0,6,Retail
29376,22032.0,9,Retail
37664,28248.0,8,Retail
9590,7192.5,5,Retail
18440,13830.0,4,Retail
17046,12784.5,6,Retail
788,591.0,1,Retail
7722,5791.5,9,Retail
24066,18049.5,7,Retail
6635,4976.25,5,Retail
1194,895.5,1,Retail
5976,4482.0,2,Retail
9009,6756.75,7,Retail
14378,10783.5,7,Retail
5781,4335.75,3,Retail
17116,12837.0,4,Retail
11636,8727.0,4,Retail
18372,13779.0,6,Retail
14490,10867.5,5,Retail
41130,30847.5,9,Retail
19272,14454.0,6,Retail
5466,4099.5,2,Retail
12920,9690.0,10,Retail
1026,769.5,3,Retail
8862,6646.5,6,Retail
5728,4296.0,4,Retail
8160,6120.0,6,Retail
15190,11392.5,7,Retail
13464,10098.0,3,Retail
6453,4839.75,3,Retail
21627,16220.25,9,Retail
26621,19965.75,7,Retail
2505,1878.75,5,Retail
7851,5888.25,3,Retail
49360,37020.0,10,Retail
3150,2362.5,5,Retail
29598,22198.5,6,Retail
7350,5512.5,2,Retail
4900,3675.0,5,Retail
8316,6237.0,4,Retail
7424,5568.0,8,Retail
9430,7072.5,5,Retail
27880,20910.0,10,Retail
1340,1005.0,10,Retail
20832,15624.0,8,Retail
4183,3137.25,1,Retail
31910,23932.5,10,Retail
34503,25877.25,7,Retail
285,213.75,3,Retail
24880,18660.0,5,Retail
4482,3361.5,9,Retail
9396,7047.0,6,Retail
2419,1814.25,1,Retail
3822,2866.5,1,Retail
14673,11004.75,3,Retail
19000,14250.0,8,Retail
5739,4304.25,3,Retail
550,412.5,10,Retail
4003,3002.25,1,Retail
1224,918.0,4,Retail
43660,32745.0,10,Retail
20232,15174.0,9,Retail
24038,18028.5,7,Retail
23982,17986.5,6,Retail
11469,8601.75,3,Retail
7848,5886.0,3,Retail
31167,23375.25,9,Retail
12720,9540.0,8,Retail
7560,5670.0,4,Retail
4304,3228.0,8,Retail
24171,18128.25,7,Retail
15872,11904.0,4,Retail
15660,11745.0,5,Retail
5830,4372.5,10,Retail
21530,16147.5,5,Retail
35936,26952.0,8,Retail
5640,4230.0,2,Retail
8404,6303.0,4,Retail
20478,15358.5,6,Retail
14331,10748.25,3,Retail
32850,24637.5,9,Retail
824,618.0,4,Retail
26052,19539.0,6,Retail
13510,10132.5,10,Retail
42048,31536.0,9,Retail
38500,28875.0,10,Retail
20432,15324.0,8,Retail
15020,11265.0,5,Retail
946,709.5,2,Retail
7188,5391.0,4,Retail
8320,6240.0,8,Retail
4570,3427.5,1,Retail
47160,35370.0,10,Retail
1062,796.5,1,Retail
12640,9480.0,10,Retail
3948,2961.0,3,Retail
12770,9577.5,10,Retail
20395,15296.25,5,Retail
13832,10374.0,7,Retail
9240,6930.0,8,Retail
1324,993.0,2,Retail
1732,1299.0,1,Retail
9711,7283.25,3,Retail
2347,1760.25,1,Retail
3936,2952.0,1,Retail
13923,10442.25,7,Retail
568,426.0,8,Retail
7350,5512.5,6,Retail
31293,23469.75,9,Retail
24954,18715.5,6,Retail
18739,14054.25,7,Retail
44415,33311.25,9,Retail
41283,30962.25,9,Retail
22072,16554.0,8,Retail
36594,27445.5,9,Retail
28575,21431.25,9,Retail
12315,9236.25,3,Retail
16630,12472.5,10,Retail
512,384.0,2,Retail
24085,18063.75,5,Retail
20520,15390.0,9,Retail
7480,5610.0,10,Retail
18760,14070.0,8,Retail
11752,8814.0,4,Retail
6016,4512.0,2,Retail
17091,12818.25,9,Retail
12896,9672.0,8,Retail
19180,14385.0,7,Retail
27873,20904.75,9,Retail
32809,24606.75,7,Retail
24830,18622.5,10,Retail
5850,4387.5,6,Retail
1644,1233.0,3,Retail
1730,1297.5,10,Retail
30008,22506.0,8,Retail
10955,8216.25,5,Retail
25396,19047.0,7,Retail
5451,4088.25,3,Retail
4918,3688.5,2,Retail
7372,5529.0,2,Retail
26829,20121.75,9,Retail
42939,32204.25,9,Retail
3664,2748.0,8,Retail
26562,19921.5,6,Retail
8120,6090.0,4,Retail
1457,1092.75,1,Retail
18448,13836.0,4,Retail
8676,6507.0,4,Retail
1995,1496.25,5,Retail
5340,4005.0,10,Retail
45690,34267.5,10,Retail
25620,19215.0,7,Retail
6055,4541.25,5,Retail
23580,17685.0,9,Retail
34326,25744.5,9,Retail
766,574.5,1,Retail
2462,1846.5,2,Retail
19728,14796.0,9,Retail
4115,3086.25,1,Retail
36738,27553.5,9,Retail
6482,4861.5,7,Retail
9972,7479.0,3,Retail
6895,5171.25,5,Retail
14829,11121.75,3,Retail
5820,4365.0,3,Retail
26584,19938.0,8,Retail
440,330.0,4,Retail
3132,2349.0,3,Retail
13488,10116.0,4,Retail
16950,12712.5,6,Retail
3115,2336.25,1,Retail
24792,18594.0,6,Retail
4198,3148.5,1,Retail
324,243.0,1,Retail
43780,32835.0,10,Retail
36936,27702.0,8,Retail
33390,25042.5,10,Retail
18403,13802.25,7,Retail
14526,10894.5,6,Retail
23310,17482.5,10,Retail
4470,3352.5,5,Retail
3290,2467.5,5,Retail
32744,24558.0,8,Retail
10710,8032.5,10,Retail
9594,7195.5,9,Retail
27692,20769.0,7,Retail
2712,2034.0,2,Retail
39736,29802.0,8,Retail
3732,2799.0,2,Retail
12120,9090.0,6,Retail
22290,16717.5,5,Retail
23541,17655.75,7,Retail
21570,16177.5,5,Retail
21440,16080.0,10,Retail
9376,7032.0,4,Retail
6660,4995.0,6,Retail
46540,34905.0,10,Retail
18270,13702.5,7,Retail
29862,22396.5,7,Retail
252,189.0,1,Retail
3102,2326.5,3,Retail
19660,14745.0,5,Retail
1197,897.75,7,Retail
6712,5034.0,4,Retail
3053,2289.75,1,Retail
30860,23145.0,10,Retail
13755,10316.25,7,Retail
49200,36900.0,10,Retail
7740,5805.0,10,Retail
3122,2341.5,2,Retail
38718,29038.5,9,Retail
28240,21180.0,8,Retail
24245,18183.75,5,Retail
33110,24832.5,7,Retail
2553,1914.75,1,Retail
2130,1597.5,6,Retail
4525,3393.75,5,Retail
8127,6095.25,9,Retail
11200,8400.0,5,Retail
3280,2460.0,5,Retail
8772,6579.0,4,Retail
1491,1118.25,3,Retail
33435,25076.25,9,Retail
6216,4662.0,4,Retail
11185,8388.75,5,Retail
4172,3129.0,1,Retail
6560,4920.0,8,Retail
2376,1782.0,4,Retail
10122,7591.5,7,Retail
698,523.5,2,Retail
41877,31407.75,9,Retail
3423,2567.25,1,Retail
4857,3642.75,1,Retail
6490,4867.5,5,Retail
11490,8617.5,6,Retail
35610,26707.5,10,Retail
2240,1680.0,4,Retail
2911,2183.25,1,Retail
2958,2218.5,6,Retail
3920,2940.0,2,Retail
30152,22614.0,8,Retail
21850,16387.5,10,Retail
31352,23514.0,8,Retail
7168,5376.0,2,Retail
27734,20800.5,7,Retail
30121,22590.75,7,Retail
5232,3924.0,8,Retail
7226,5419.5,2,Retail
9888,7416.0,2,Retail
19326,14494.5,6,Retail
9525,7143.75,5,Retail
2548,1911.0,2,Retail
14010,10507.5,3,Retail
37773,28329.75,9,Retail
4710,3532.5,2,Retail
15530,11647.5,5,Retail
34188,25641.0,7,Retail
23690,17767.5,10,Retail
6804,5103.0,3,Retail
7137,5352.75,9,Retail
14769,11076.75,3,Retail
2990,2242.5,10,Retail
3870,2902.5,6,Retail
33888,25416.0,8,Retail
17958,13468.5,6,Retail
11448,8586.0,6,Retail
624,468.0,6,Retail
27054,20290.5,9,Retail
1164,873.0,4,Retail
2386,1789.5,1,Retail
15757,11817.75,7,Retail
12636,9477.0,4,Retail
17192,12894.0,4,Retail
18816,14112.0,8,Retail
1782,1336.5,3,Retail
10302,7726.5,3,Retail
5420,4065.0,10,Retail
2256,1692.0,4,Retail
43200,32400.0,9,Retail
20250,15187.5,9,Retail
4440,3330.0,3,Retail
19724,14793.0,4,Retail
4273,3204.75,1,Retail
18414,13810.5,6,Retail
7012,5259.0,2,Retail
13140,9855.0,5,Retail
290,217.5,5,Retail
19405,14553.75,5,Retail
4044,3033.0,4,Retail
40060,30045.0,10,Retail
10719,8039.25,9,Retail
11865,8898.75,5,Retail
23235,17426.25,5,Retail
16200,12150.0,10,Retail
21948,16461.0,6,Retail
26694,20020.5,9,Retail
1341,1005.75,1,Retail
3220,2415.0,10,Retail
5132,3849.0,2,Retail
34410,25807.5,10,Retail
8160,6120.0,6,Retail
13905,10428.75,9,Retail
29898,22423.5,9,Retail
23625,17718.75,5,Retail
4524,3393.0,2,Retail
14147,10610.25,7,Retail
128,96.0,1,Retail
5565,4173.75,3,Retail
24372,18279.0,6,Retail
180,135.0,1,Retail
11120,8340.0,4,Retail
14097,10572.75,3,Retail
5576,4182.0,8,Retail
32235,24176.25,7,Retail
2776,2082.0,8,Retail
439,329.25,1,Retail
168,126.0,1,Retail
3128,2346.0,1,Retail
8559,6419.25,9,Retail
6923,5192.25,7,Retail
19968,14976.0,6,Retail
17871,13403.25,7,Retail
